,Country name,Regional indicator,21_Ladder score,21_Standard error of ladder score,21_upperwhisker,21_lowerwhisker,21_Logged GDP per capita,21_Social support,21_Healthy life expectancy,21_Freedom to make life choices,21_Generosity,21_Perceptions of corruption,21_Ladder score in Dystopia,21_Explained by: Log GDP per capita,21_Explained by: Social support,21_Explained by: Healthy life expectancy,21_Explained by: Freedom to make life choices,21_Explained by: Generosity,21_Explained by: Perceptions of corruption,21_Dystopia + residual,20_Ladder score,20_Standard error of ladder score,20_upperwhisker,20_lowerwhisker,20_Logged GDP per capita,20_Social support,20_Healthy life expectancy,20_Freedom to make life choices,20_Generosity,20_Perceptions of corruption,20_Ladder score in Dystopia,20_Explained by: Log GDP per capita,20_Explained by: Social support,20_Explained by: Healthy life expectancy,20_Explained by: Freedom to make life choices,20_Explained by: Generosity,20_Explained by: Perceptions of corruption,20_Dystopia + residual,Ladder score_diff,Standard error of ladder score_diff,upperwhisker_diff,lowerwhisker_diff,Logged GDP per capita_diff,Social support_diff,Healthy life expectancy_diff,Freedom to make life choices_diff,Generosity_diff,Perceptions of corruption_diff,Ladder score in Dystopia_diff,Explained by: Log GDP per capita_diff,Explained by: Social support_diff,Explained by: Healthy life expectancy_diff,Explained by: Freedom to make life choices_diff,Explained by: Generosity_diff,Explained by: Perceptions of corruption_diff,Dystopia + residual_diff,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of exposure to COVID-19  infections in other countries as of March 31,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
53,Thailand,Southeast Asia,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,5.998799801,0.042596295,6.082288742,5.91531086,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,1.972316742,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109,-0.013799800999999334,0.004403705000000001,-0.0052887420000002905,-0.022310860000000154,0.06320827499999915,-0.001973223000000024,0.1504049099999918,-0.02106303300000001,0.01831480799999996,0.008727688999999983,0.4576832580000001,0.09997070500000005,-0.3905195170000001,-0.19785584600000006,0.0015501959999999482,-0.0017090140000000087,-0.003837862000000001,0.47661589100000024,69799978.0,69625582.0,0.09030000120401382,40.099998474121094,0.7512210607528687,0.0,0.0,0.35382911562919617,35.315,506211.0,501438.0,26.60967445373535
54,Nicaragua,Latin America and Caribbean,5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,6.13710022,0.063886963,6.262318611,6.011881828,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,1.972316742,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114,-0.16510021999999935,0.019113037,-0.12831861100000008,-0.20188182800000032,0.12683975199999864,0.0065029639999999445,0.14982073999999557,-0.027902866999999998,-0.0009591410000000002,-0.0019501189999999724,0.4576832580000001,0.072966855,-0.3668127499999999,-0.19909325499999997,-0.007117303999999991,-0.011871476999999991,0.0019154259999999979,0.3449188860000003,6624554.0,6545502.0,2.4907000064849854,27.299999237060547,0.8604223132133484,0.0,0.0,0.2803025543689728,46.515,,,
55,Japan,East Asia,5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,5.870800018,0.041391667,5.951927662,5.789672375,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,1.972316742,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333,0.06919998200000066,-0.0013916669999999992,0.06807233799999945,0.07132762499999945,0.03131096999999983,0.0004540650000000035,0.09903106999999522,-0.01396137899999994,-0.011089651000000006,-0.016558062999999956,0.4576832580000001,0.12227589000000005,-0.38333869099999995,-0.23488134100000002,0.008534125000000004,-0.015711779999999998,0.010560362000000018,0.5617996670000001,126476458.0,126264931.0,2.6029000282287598,48.20000076293945,0.8627890348434448,1.0,0.0,0.3174663186073303,33.9,1387775.0,1376426.0,10.146339416503906
56,Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69.0,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,5.974699974,0.053441759,6.079445839,5.869954109,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,1.972316742,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998,-0.0456999739999997,0.0025582410000000028,-0.03944583899999987,-0.05095410900000008,0.15104495199999945,-0.002567949000000014,0.19619751000000463,-0.003132412000000029,0.012913863999999997,-0.00800984199999999,0.4576832580000001,0.13353437099999987,-0.3925436929999999,-0.20377370500000003,0.023159653000000002,-0.0011004709999999918,0.006584941000000004,0.38845900199999983,45195777.0,44938712.0,95.68370056152344,31.899999618530273,0.5493663549423218,0.0,0.0,0.09105899930000305,39.6,,,
57,Portugal,Western Europe,5.929,0.055,6.037,5.821,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,1.323,0.939,0.76,0.621,0.029,0.033,2.225,5.910900116,0.053158198,6.015089989,5.806710243,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,1.972316742,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708,0.01809988400000062,0.0018418020000000035,0.021910011000000118,0.014289756999999348,0.15725754999999886,-0.007590718999999968,0.19797667999999646,0.0032521890000000164,-0.023285698999999993,-0.005629503999999952,0.4576832580000001,0.15419916899999997,-0.40053034899999995,-0.21931528099999997,0.031104810999999954,-0.024036947,0.005266534000000003,0.47244129200000007,10196707.0,10269417.0,67.72769927978516,46.20000076293945,3.2235987186431885,0.0,0.0,0.2483617514371872,32.1,111474.0,125500.0,140.23501586914062
58,Honduras,Latin America and Caribbean,5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,5.953199863,0.065731592,6.082033634,5.824366093,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,1.972316742,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387,-0.03419986300000044,0.016268407999999998,-0.0010336339999996724,-0.06636609300000007,0.22346520199999986,-0.009870147999999968,0.10123138000000154,-0.013603263000000032,-0.005969114999999997,0.007868096000000047,0.4576832580000001,0.10423641499999992,-0.3996641040000001,-0.19898998200000007,0.00985192299999993,-0.01552819900000002,-0.0038071019999999928,0.4697046130000002,9904608.0,9588000.0,31.60150146484375,24.899999618530273,0.8872699737548828,0.0,0.0,0.20871895551681519,48.1,,,
59,Croatia,Central and Eastern Europe,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0.0,2.325,5.504700184,0.037783645,5.578756332,5.430644035,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,1.972316742,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205,0.37729981599999984,0.010216355000000003,0.39624366799999944,0.357355965,0.14612482999999976,0.04937628400000005,0.584095210000001,0.03916119699999998,0.010538325000000015,0.022504735999999914,0.4576832580000001,0.14197571399999998,-0.27226487300000013,-0.19757557800000003,0.07154311800000002,-0.002998978999999999,-0.012325006,0.6489707950000001,4105268.0,4067500.0,95.48709869384766,44.0,4.0574541091918945,0.0,0.0,0.13128027319908142,29.7,51611.0,57922.0,133.15762329101562
60,Philippines,Southeast Asia,5.88,0.052,5.982,5.778,9.076,0.83,62.0,0.917,-0.097,0.742,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872,6.006000042,0.049858402,6.103722572,5.908277512,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,1.972316742,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886,-0.12600004200000026,0.0021415979999999946,-0.12172257199999947,-0.13027751200000015,0.08245446799999989,-0.016730053000000078,0.07323836999999855,0.0015365520000000243,0.008463005999999995,0.008365885999999989,0.4576832580000001,0.07787932399999997,-0.41738171300000004,-0.17618948100000004,0.029084838000000057,-0.004260212000000013,-0.004385727000000006,0.37025811399999986,109581085.0,108116615.0,8.435800552368164,25.200000762939453,0.7396153807640076,1.0,0.0,0.5199505090713501,42.230000000000004,,,
61,South Korea,East Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,5.872399807,0.044085015,5.958806515,5.785993099,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,0.789067447,1.972316742,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078,-0.02739980700000011,-0.0020850149999999956,-0.03080651500000009,-0.022993098999999795,0.14043328999999893,-0.0003871569999999158,0.2972701999999998,0.05903489300000009,-0.039595968,-0.062067447,0.4576832580000001,0.15769934900000004,-0.375560538,-0.22154259600000004,0.09364364999999997,-0.03630386599999999,0.040403718000000005,0.3152429219999999,51269183.0,51709098.0,1.788599967956543,43.400001525878906,1.6065058708190918,1.0,0.0,0.11182743310928345,35.5,294080.0,308318.0,31.2661190032959
62,Peru,Latin America and Caribbean,5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744,5.796800137,0.061311204,5.916970253,5.67663002,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,1.972316742,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546,0.043199862999999894,0.013688795999999996,0.07102974700000075,0.015369980000000005,0.0016868670000000918,0.000924748999999947,0.14976500999999587,-0.002766099000000022,0.008388220000000002,-0.002714963999999931,0.4576832580000001,0.06745082000000002,-0.37540597200000003,-0.201444175,0.022789942000000063,-0.004611817000000004,0.00396734,0.5305004540000002,32971846.0,32510453.0,114.279296875,29.100000381469727,0.6362667679786682,0.0,0.0,0.09592050313949585,43.9,114560.0,214503.0,323.4757080078125
